kelurahan;pos_code;kecamatan
Sipatnanam;98025;Wartutin
Sondo-Sondo;97866;Wasile Selatan
Beriri Jarak;83650;Wanasaba
Wanasari;41174;Wanayasa
Triharjo;55651;Wates
Sukabares;42453;Waringinkurung (Waringin Kurung)
Sipisi;98681;Waropen Atas
Foli (Foly);97867;Wasile Tengah
Limbangan;56352;Watumalang
Maimare (Maimari);98346;Wasior
Tabanalow (Tabanalou \/ Tabanoli);97866;Wasile Selatan
Kamarisano;98664;Wapoga
Jineng;83650;Wanasaba
Patuno;93791;Wangi Wangi
Karang Baru;83650;Wanasaba
Pongo;93791;Wangi Wangi
Karang Baru Timur;83650;Wanasaba
Wartutin;98025;Wartutin
Yansei (Yansey\/Ensei\/Yensei);98146;Wamesa (Idoor)
Rua;87272;Wanokaka
Werabuan;98025;Wartutin
Mamben Baru;83650;Wanasaba
Kamarisanoi;98861;Wapoga
Wanayasa;41174;Wanayasa
Talaga Jaya;97866;Wasile Selatan
Mamben Daya;83650;Wanasaba
Aiwou (Aywou);98317;Warmare
Ambuar;98335;Wamesa
Tara Manu;87272;Wanokaka
Mamben Lauk\/Lauq;83650;Wanasaba
Amber;98317;Warmare
Karuan;98335;Wamesa
Lumajang;56352;Watumalang
Maniwak;98346;Wasior
Otak Rarangan;83650;Wanasaba
Tugurejo (Tugu Rejo);66194;Wates
Nordiwar;98335;Wamesa
Wanayasa;53457;Wanayasa
Werpigan;98025;Wartutin
Tembeng Putik;83650;Wanasaba
Pookambua;93791;Wangi Wangi
Keuw;98861;Wapoga
Wanasaba;83650;Wanasaba
Sabubar;98335;Wamesa
Mutisari;56352;Watumalang
Asarbey (Asarbei);98317;Warmare
Aman;98553;Warsa
Wanasaba Daya;83650;Wanasaba
Posalu;93791;Wangi Wangi
Waihura (Wai Hura);87272;Wanokaka
Tanure;97866;Wasile Selatan
Wanasaba Lauk;83650;Wanasaba
Tulungrejo;66194;Wates
Talaga Luhur (Telaga Luhur);42453;Waringinkurung (Waringin Kurung)
Adimulya;53265;Wanareja
Dukuhwringin;52252;Wanasari
Waringinkurung;42453;Waringinkurung (Waringin Kurung)
Bantar;53265;Wanareja
Wei Mangoma;87272;Wanokaka
Tomares;97866;Wasile Selatan
Pasuruhan;56352;Watumalang
Manopi;98346;Wasior
Cigintung;53222;Wanareja
Sombu;93791;Wangi Wangi
Pirare;98664;Wapoga
Dumeling;52252;Wanasari
Cilongkrang;53265;Wanareja
Andugume;99596;Wano Barat
Amoi (Ammoy);98553;Warsa
Waijoi;97866;Wasile Selatan
Tunge;64174;Wates
Jambu;53265;Wanareja
Yarpate;98335;Wamesa
Biawer;98553;Warsa
Watumalang;56352;Watumalang
Limbangan;53232;Wanareja
Tindoi;93791;Wangi Wangi
Samanui;98861;Wapoga
Madura;53265;Wanareja
Wasile;97866;Wasile Selatan
Madusari;53265;Wanareja
Autakma;99511;Wamena
Majingklak;53265;Wanareja
Tindoi Timur;93791;Wangi Wangi
Malabar;53265;Wanareja
Yawal;97866;Wasile Selatan
Bahamyenti;98317;Warmare
Waelumu;93791;Wangi Wangi
Moru (Gayabaru);98346;Wasior
Batu Raja;97865;Wasile
Glonggong;52252;Wanasari
Arebe\/Ninggame;99062;Wari/Taiyeve II
Batu Merah;99511;Wamena
Palugon;53265;Wanareja
Dugu-dugu;99596;Wano Barat
Waetuno;93791;Wangi Wangi
Purwasari;53265;Wanareja
Dindey;98317;Warmare
Beleise;99062;Wari/Taiyeve II
Rado;98346;Wasior
Sidamulya;53265;Wanareja
Duweibey (Dueibei);98317;Warmare
Honaima;99511;Wamena
Tambaksari;53265;Wanareja
Dorera;99062;Wari/Taiyeve II
Tarisi;53265;Wanareja
Kobanu;99596;Wano Barat
Dotori;99062;Wari/Taiyeve II
Jagalempeni;52252;Wanasari
Wanareja;53265;Wanareja
Honelama;99511;Wamena
Ramiki;98346;Wasior
Babat Raya;70560;Wanaraya
Bulapapo (Gulapapo);97865;Wasile
Mingga;99596;Wano Barat
Keboledan;52252;Wanasari
Dwipasari (Dwi Pasari);70560;Wanaraya
Dustra\/Yamiriko;99062;Wari/Taiyeve II
Kolam Kanan;70560;Wanaraya
Honelama Dua;99511;Wamena
Mume;99596;Wano Barat
Bumi Restu;97865;Wasile
Wasior I;98346;Wasior
Friji;99062;Wari/Taiyeve II
Cemara Jaya;97865;Wasile
Duwin;98317;Warmare
Kolam Kiri;70560;Wanaraya
Diano;98553;Warsa
Kertabesuki;52252;Wanasari
Hulekama \/ Hurekama;99511;Wamena
Kolam Makmur;70560;Wanaraya
Nabei;99596;Wano Barat
Wates;64174;Wates
Kalibu;99062;Wari/Taiyeve II
Figoud;98317;Warmare
Pinang Habang;70560;Wanaraya
Lanitipo;99511;Wamena
Klampok;52252;Wanasari
Roham Raya;70560;Wanaraya
Wasior II;98346;Wasior
Waginopo;93791;Wangi Wangi
Sidomulyo (Sido Mulyo);70560;Wanaraya
Kowari;99062;Wari/Taiyeve II
Simpang Jaya;70560;Wanaraya
Nenggeya;99596;Wano Barat
Mekar Sari;97865;Wasile
Sumber Rahayu;70560;Wanaraya
Waha;93791;Wangi Wangi
Surya Kanta;70560;Wanaraya
Subaim;97865;Wasile
Guentuy;98317;Warmare
Wonokampir;56352;Watumalang
Syewa Merare;98664;Wapoga
Kupu;52252;Wanasari
Sinakma;99511;Wamena
Tumih;70560;Wanaraya
Imbari;98553;Warsa
Piragi;99596;Wano Barat
Wanci;93791;Wangi Wangi
Waringin Kencana;70560;Wanaraya
Taumi;98861;Wapoga
Hingk;98317;Warmare
Wates;66194;Wates
Bololo;97869;Wasile Utara
Waisuba;97865;Wasile
Cinunuk;44180;Wanaraja
Lengkong;52252;Wanasari
Kuruku;99062;Wari/Taiyeve II
Sindangmekar;44180;Wanaraja
Tenawi;99596;Wano Barat
Inswambesi (Inswanbesi);98553;Warsa
Wandoka;93791;Wangi Wangi
Sindangprabu;44180;Wanaraja
Inswambesi Sup (Inswanbesi Sup);98553;Warsa
Boni;98467;Warwarbomi
Sindangratu;44180;Wanaraja
Pebatan;52222;Wanasari
Wandoka Selatan;93791;Wangi Wangi
Sukamenak;44180;Wanaraja
Sinapuk;99511;Wamena
Wanajaya;44180;Wanaraja
Tinime;99596;Wano Barat
Wandoka Utara;93791;Wangi Wangi
Pesantunan;52221;Wanasari
Wanamekar;44180;Wanaraja
Iboisrati;98317;Warmare
Wamaroma;99511;Wamena
Wamiru;99596;Wano Barat
Wanaraja;44180;Wanaraja
Mnier;98467;Warwarbomi
Ibuwau;98317;Warmare
Wanasari;44180;Wanaraja
Sawojajar;52252;Wanasari
Wamena Kota;99511;Wamena
Gumingsir;53461;Wanadadi (Wonodadi)
Wapia-pia;93791;Wangi Wangi
Kiara;42183;Walantaka
Kandangwangi;53461;Wanadadi (Wonodadi)
Warkori;98467;Warwarbomi
Pakowa;95119;Wanea
Lebakwangi;42183;Walantaka
Dogoname;99536;Wame
Karangjambe;53461;Wanadadi (Wonodadi)
Ranotana Weru;95118;Wanea
Nyapah;42183;Walantaka
Warmanai;98467;Warwarbomi
Pabuaran;42183;Walantaka
Tanjung Batu;95117;Wanea
Dumapaga;99536;Wame
Salulino;91953;Walenrang Utara
Karangkemiri;53461;Wanadadi (Wonodadi)
Banjaragung (Banjar Agung);52183;Warureja (Warurejo)
Kasilib (Kasalib);53461;Wanadadi (Wonodadi)
Kalibamamase;91950;Walenrang
Pager Agung (Pageragung);42183;Walantaka
Lemahjaya;53461;Wanadadi (Wonodadi)
Wame;99536;Wame
Pangampelan (Pengampelan);42183;Walantaka
Bohusami;96465;Wanggarasi
Linggasari;53461;Wanadadi (Wonodadi)
Salutubu;91953;Walenrang Utara
Pasuluhan;42183;Walantaka
Lalong;91950;Walenrang
Sangtandung;91953;Walenrang Utara
Yanenggame;99536;Wame
Pipitan;42183;Walantaka
Saragi;91950;Walenrang
Teling Atas;95119;Wanea
Waetina;97579;Waelata
Banjarturi;52183;Warureja (Warurejo)
Siteba;91953;Walenrang Utara
Tombang;91950;Walenrang
Tegalsari;42183;Walantaka
Medayu;53461;Wanadadi (Wonodadi)
Waflan;97579;Waelata
Walenrang;91950;Walenrang
Teritih;42183;Walantaka
Tapen;53461;Wanadadi (Wonodadi)
Demangharjo;52183;Warureja (Warurejo)
Kendekan;91951;Walenrang Timur
Wanadadi;53461;Wanadadi (Wonodadi)
Widit;97579;Waelata
Bukit Harapan;96465;Wanggarasi
Walantaka;42183;Walantaka
Tingkulu;95117;Wanea
Caringinnunggal (Caringin Nunggal);43175;Waluran
Elarek;99509;Walaik
Inauga;99963;Wania
Agopaga;98936;Waegi
Itlay Halitopo;99510;Walelagama
Wanakarsa;53461;Wanadadi (Wonodadi)
Dowongi Jaya;97869;Wasile Utara
Wanea;95117;Wanea
Indisey;98317;Warmare
Kedungjati;52183;Warureja (Warurejo)
Besilam Bukit Lembasa;20851;Wampu
Holima;99509;Walaik
Ambit-Mbit;98936;Waegi
Lembah Permai (Lembah Malango II);96465;Wanggarasi
Bingai;20851;Wampu
Lamasi Pantai;91951;Walenrang Timur
Kubulakma;99510;Walelagama
Kadun Jaya;99963;Wania
Bukit Melintang;20851;Wampu
Walaik;99509;Walaik
Siasem;52252;Wanasari
Kulaken;99510;Walelagama
Debasiga;98785;Wandai
Sotea;98317;Warmare
Indonbey (Indondey);98317;Warmare
Andiron;98936;Waegi
Limbula;96469;Wanggarasi
Helaitetor;97869;Wasile Utara
Welekama;99509;Walaik
Mangunjaya;43175;Waluran
Pangalli;91951;Walenrang Timur
Yelai;99509;Walaik
Pugima;99510;Walelagama
Kamoro Jaya;99963;Wania
Debasiga Dua;98785;Wandai
Kedungkelor;52183;Warureja (Warurejo)
Sraindabey;98317;Warmare
Sidamulya;52252;Wanasari
Golena;99047;Wakuwo
Kipuwau (Kibauw);98317;Warmare
Tuweya;96469;Wanggarasi
Anggutare;98936;Waegi
Subsay;98317;Warmare
Iga;97869;Wasile Utara
Dubandoga (Dubasiga);98785;Wandai
Walelagama;99510;Walelagama
Mandiri Jaya;99963;Wania
Gulak;99047;Wakuwo
Aulakme;98936;Waegi
Mekarmukti (Mekar Mukti);43175;Waluran
Rantai Damai (Rante Damai);91951;Walenrang Timur
Kendayakan;52183;Warureja (Warurejo)
Syou (Siyau);98317;Warmare
Hulapuga;98785;Wandai
Sigentong;52252;Wanasari
Gunalo;99047;Wakuwo
Tanah Merah;98317;Warmare
Ginilome;98936;Waegi
Seba-Seba;91951;Walenrang Timur
Umcen (Umcem);98317;Warmare
Korlo;99047;Wakuwo
Wanggarasi (Wonggarasi Timur);96465;Wanggarasi
Kabita;93795;Wangi Wangi Selatan
Isandoga;98785;Wandai
Wamusage;99510;Walelagama
Jimbinggame;98936;Waegi
Warmare;98317;Warmare
Kumbur;99047;Wakuwo
Sukamukti;43175;Waluran
Kabita Togo;93795;Wangi Wangi Selatan
Suka Damai (Sukadamai);91951;Walenrang Timur
Kreman;52183;Warureja (Warurejo)
Kwarini;99047;Wakuwo
Taba (Tabah);91951;Walenrang Timur
Ambit;45180;Waled
Panerusan;56365;Wadaslintang
Nowo;99047;Wakuwo
Kapota;93795;Wangi Wangi Selatan
Yipilo;96469;Wanggarasi
Wairbleler;86185;Waigete
Tanete;91951;Walenrang Timur
Masingai II;71575;Upau
Rangi Mulya (Rangimulya);52183;Warureja (Warurejo)
Timer;99047;Wakuwo
Plunjaran;56365;Wadaslintang
Ilan Batu;91951;Walenrang Barat
Wairterang;86185;Waigete
Bedeng Tiga;32275;Warkuk Ranau Selatan
Towolome;99047;Wakuwo
Pangelak;71575;Upau
Waluran;43175;Waluran
Kapota Utara;93795;Wangi Wangi Selatan
Somogede;56365;Wadaslintang
Cibogo;45180;Waled
Komala;93795;Wangi Wangi Selatan
Sidamulya (Sidomulyo);52183;Warureja (Warurejo)
Ilan Batu Uru;91951;Walenrang Barat
Bumi Agung;32275;Warkuk Ranau Selatan
Wama;99047;Wakuwo
Watudiran;86185;Waigete
Waluran Mandiri;43175;Waluran
Liya Bahari Indah;93795;Wangi Wangi Selatan
Weyage;99047;Wakuwo
Beneik;99356;Unurum Guay
Cikulak;45180;Waled
Wonitu;99047;Wakuwo
Gedung Ranau;32275;Warkuk Ranau Selatan
Sumberejo;56365;Wadaslintang
Laba Jaya;93671;Wakorumba Utara
Sigentong;52183;Warureja (Warurejo)
Ganusa (Garusa);99356;Unurum Guay
Gunung Aji;32275;Warkuk Ranau Selatan
Labaraga;93671;Wakorumba Utara
Sumbersari;56365;Wadaslintang
Honggolek (Honggoluk);99765;Walma
Labuan;93671;Wakorumba Utara
Guriyad (Guryard);99356;Unurum Guay
Labuan Bajo;93671;Wakorumba Utara
Tirip;56365;Wadaslintang
Labuan Walio;93671;Wakorumba Utara
Ambukha I (Ambukha Satu);22867;Ulunoyo
Jiogobak;98936;Waegi
Gunung Raya;32275;Warkuk Ranau Selatan
Trimulyo;56365;Wadaslintang
Labuko;93671;Wakorumba Utara
Wadaslintang (Wadas Lintang);56365;Wadaslintang
Lerawera;98936;Waegi
Amorosa;22867;Ulunoyo
Laea;93671;Wakorumba Utara
Agulimo;99525;Wadangku
Lasiwa;93671;Wakorumba Utara
Nandalzi (Nandaizi);99356;Unurum Guay
Kiwis Raya;32275;Warkuk Ranau Selatan
Mondogoneri;98936;Waegi
Bawo Lolomatua;22867;Ulunoyo
Matalagi;93671;Wakorumba Utara
Luku-luku;99525;Wadangku
Kota Batu;32275;Warkuk Ranau Selatan
Oengkapala;93671;Wakorumba Utara
Sawesuma (Sawa Suma);99356;Unurum Guay
Nakongwe;98936;Waegi
Liya Mawi (Liyamawi);93795;Wangi Wangi Selatan
Musiem;99525;Wadangku
Sumampeno;93671;Wakorumba Utara
Borowosi;22867;Ulunoyo
Liya Onemaelangka;93795;Wangi Wangi Selatan
Oriluk;98936;Waegi
Sentosa (Santosa);99356;Unurum Guay
Wamorapa;93671;Wakorumba Utara
Mekar Sari (Mekarsari);32275;Warkuk Ranau Selatan
Wadangku;99525;Wadangku
Wantulasi;93671;Wakorumba Utara
Hilifakhe;22867;Ulunoyo
Pagargom;98936;Waegi
Pagar Dewa;32275;Warkuk Ranau Selatan
Boak;84310;Unter Iwes (Unterwiris)
Bhakealu (Bakealu);93681;Wakorumba Selatan
Yomosimo;99525;Wadangku
Tenolok;98936;Waegi
Jorok;84310;Unter Iwes (Unterwiris)
Labunia;93681;Wakorumba Selatan
Hilimaera;22867;Ulunoyo
Pure;93681;Wakorumba Selatan
Liya Togo;93795;Wangi Wangi Selatan
Kampani;93652;Wadaga
Tenomanggen;98936;Waegi
Kerato;84310;Unter Iwes (Unterwiris)
Wakorumba;93681;Wakorumba Selatan
Pilla;32275;Warkuk Ranau Selatan
Tirigoi;98936;Waegi
Katobu;93652;Wadaga
Hiliwaebu;22867;Ulunoyo
Wambona;93681;Wakorumba Selatan
Kerekeh;84310;Unter Iwes (Unterwiris)
Towoluk;98936;Waegi
Lailangga;93652;Wadaga
Amarlaut;97595;Wakate
Hate Tabako (Hatetabako);97867;Wasile Tengah
Nijang;84310;Unter Iwes (Unterwiris)
Effa;97595;Wakate
Lakanaha;93652;Wadaga
Wurunikme (Wurungkime);98936;Waegi
Remanam Jaya;32275;Warkuk Ranau Selatan
Pelat;84310;Unter Iwes (Unterwiris)
Guliar;97595;Wakate
Mandati I;93795;Wangi Wangi Selatan
Yalibate;98936;Waegi
Lasosodo;93652;Wadaga
Ilili;97595;Wakate
Loloana'a;22867;Ulunoyo
Segigok Raya;32275;Warkuk Ranau Selatan
Gogorea;97578;Waeapo
Pungka;84310;Unter Iwes (Unterwiris)
Karlomin;97595;Wakate
Lindo;93652;Wadaga
Kakaraino;97867;Wasile Tengah
Savana Jaya;97578;Waeapo
Marao;22867;Ulunoyo
Kelangan;97595;Wakate
Uma Beringin;84310;Unter Iwes (Unterwiris)
Keldor;97595;Wakate
Wakontu;93652;Wadaga
Waekasar;97578;Waeapo
Orahili Ulunoyo;22867;Ulunoyo
Sukajaya;32275;Warkuk Ranau Selatan
Cikulak Kidul;45180;Waled
Amor;99780;Unir Sirau
Bajo Bahari;93753;Wabula
Mandati II;93795;Wangi Wangi Selatan
Puncak Lolomatua;22867;Ulunoyo
Kilbutak;97595;Wakate
Lolobata;97867;Wasile Tengah
Bumi Mulia (Bumi Mulya \/ Bumimulia);98854;Wanggar
Waekerta;97578;Waeapo
Tanjung Baru;32275;Warkuk Ranau Selatan
Kurwara;97595;Wakate
Karadiri;98854;Wanggar
Waenetat;97578;Waeapo
Lahema;97595;Wakate
Hontulun;99765;Walma
Otademan;97595;Wakate
Sukareja;52183;Warureja (Warurejo)
Waetele;97578;Waeapo
Gergas;20851;Wampu
Ruma Durun;97595;Wakate
Wanggar Makmur;98854;Wanggar
Mandati III;93795;Wangi Wangi Selatan
Tamher Timur;97595;Wakate
Warureja;52183;Warureja (Warurejo)
Wanareja;97578;Waeapo
Matahora (Metohora);93795;Wangi Wangi Selatan
Tamher Warat;97595;Wakate
Bangka Jong (Bangkajong);86594;Wae Rii
Tana Soa;97595;Wakate
Cibuyur;52358;Warungpring
Bangka Kenda;86594;Wae Rii
Gohor Lama;20851;Wampu
Tanah Baru;97595;Wakate
Datar;52358;Warungpring
Tanjung Jati;32275;Warkuk Ranau Selatan
Utta;97595;Wakate
Ayir;99780;Unir Sirau
Benteng Poco;86594;Wae Rii
Way Wangi Seminung;32275;Warkuk Ranau Selatan
Holimombo;93753;Wabula
Berip;99780;Unir Sirau
Nyaolako;97867;Wasile Tengah
Cisaat;45180;Waled
Sambulu;22867;Ulunoyo
Ampas;99467;Waris
Wunin Eldedora;97595;Wakate
Ailpailin;98955;Wangbe
Koholimembona (Koholimombona);93753;Wabula
Compang Ndehes;86594;Wae Rii
Suka Maju;22867;Ulunoyo
Karangdawa;52358;Warungpring
Butung;90173;Wajo
Paar;99780;Unir Sirau
Ende;90174;Wajo
Ciuyah;45180;Waled
Wabula;93753;Wabula
Puao;97867;Wasile Tengah
Golo Cador;86594;Wae Rii
Andey;98466;Waigeo Utara
Gunungsari;45180;Waled
Wabula Satu;93753;Wabula
Banda;99467;Waris
Werer;99780;Unir Sirau
Kabiraan;91454;Ulumanda (Ulumunda)
Malimongan;90172;Wajo
Asukweri;98466;Waigeo Utara
Golo Mendo;86594;Wae Rii
Mereng;52358;Warungpring
Wasampela;93753;Wabula
Malimongan Tua;90172;Wajo
Yipawer;99780;Unir Sirau
Jindak;98955;Wangbe
Bonsayor;98466;Waigeo Utara
Panggalo;91454;Ulumanda (Ulumunda)
Golo Watu\/Wutu;86594;Wae Rii
Karangsari;45180;Waled
Wasuemba;93753;Wabula
Golo Wua (Golo Wuas);86594;Wae Rii
Pakembaran;52358;Warungpring
Beji;50519;Ungaran Timur
Lalong;86594;Wae Rii
Darumbab;98466;Waigeo Utara
Mampu;90173;Wajo
Popenga;91454;Ulumanda (Ulumunda)
Dafnawanga;99643;Waan
Gedanganak;50519;Ungaran Timur
Longko;86594;Wae Rii
Kabare;98466;Waigeo Utara
Solinggul (Solingul);99765;Walma
Melayu;90171;Wajo
Kladar;99643;Waan
Ndehes;86594;Wae Rii
Kalisade;98466;Waigeo Utara
Mekarsari;45180;Waled
Jae;98785;Wandai
Kalikayen;50519;Ungaran Timur
Marilaukin;98955;Wangbe
Melayu Baru;90171;Wajo
Salutambung;91454;Ulumanda (Ulumunda)
Konorau;99643;Waan
Kalirejo;50515;Ungaran Timur
Sabon;99643;Waan
Lamasi Hulu;91952;Walenrang Barat
Warungpring;52358;Warungpring
Poco;86594;Wae Rii
Waled Asem;45180;Waled
Mongkoihol;98955;Wangbe
Pattunuang;90174;Wajo
Mbugulo;98785;Wandai
Waled Desa;45180;Waled
Lempe;91952;Walenrang Barat
Waled Kota;45180;Waled
Ranaka\/Renaka;86594;Wae Rii
Sambabo;91454;Ulumanda (Ulumunda)
Bambang;65173;Wajak
Kalongan;50519;Ungaran Timur
Mogalo;98785;Wandai
Puper;98476;Waigeo Timur
Toor (Tor);99643;Waan
Walma;99765;Walma
Kawengen;50519;Ungaran Timur
Lempe Pasang;91952;Walenrang Barat
Sulai;91454;Ulumanda (Ulumunda)
Dolong A;94694;Walea Kepulauan
Leyangan;50519;Ungaran Timur
Waan;99643;Waan
Tandeallo;91454;Ulumanda (Ulumunda)
Ranggi;86594;Wae Rii
Urbinasopen;98476;Waigeo Timur
Blayu;65173;Wajak
Jentera Stabat;20851;Wampu
Mluweh;50519;Ungaran Timur
Bringin;65173;Wajak
Werene;99765;Walma
Yenbekaki (Yembekaki);98476;Waigeo Timur
Lewandi;91952;Walenrang Barat
Mola Bahari;93795;Wangi Wangi Selatan
Dolong B;94694;Walea Kepulauan
Ulumanda;91454;Ulumanda (Ulumunda)
Satar Ngkeling;86594;Wae Rii
Silalaysang (Silalayang);97867;Wasile Tengah
Nagaljagama;98955;Wangbe
Sidomulyo;50514;Ungaran Timur
Sabisa;98785;Wandai
Wae Mulu;86594;Wae Rii
Kebun Balok;20851;Wampu
Yensener (Yesner);98476;Waigeo Timur
Weri;99765;Walma
Ambowetan;52371;Ulujami
Bunikasih;43260;Warungkondang
Mola Nelayan Bhakti;93795;Wangi Wangi Selatan
Susukan;50516;Ungaran Timur
Kolami;94694;Walea Kepulauan
Friwen;98475;Waigeo Selatan
Bandarjo;50517;Ungaran Barat
Nangi;98955;Wangbe
Ake Jawi;97866;Wasile Selatan
Barammamase (Bara Mamase);91950;Walenrang
Mekar Jaya;20851;Wampu
Ambuang Kapua Sungai Sariak;25576;VII Koto Sungai Sarik
Blendung;52371;Ulujami
Saonek;98475;Waigeo Selatan
Loe;94694;Walea Kepulauan
Babakan;41174;Wanayasa
Balah Aie;25576;VII Koto Sungai Sarik
Wae Rii;86594;Wae Rii
Bunisari;43260;Warungkondang
Saporkren;98475;Waigeo Selatan
Batusitanduk;91950;Walenrang
Botekan;52371;Ulujami
Wewasi;99765;Walma
Codo;65173;Wajak
Wawiyai;98475;Waigeo Selatan
Bina Gara (Binagara);97866;Wasile Selatan
Pungki;98955;Wangbe
Cikareo Selatan;45373;Wado
Branjang;50519;Ungaran Barat
Bulo;91950;Walenrang
Balah Aie Timur;25576;VII Koto Sungai Sarik
Mola Samaturu;93795;Wangi Wangi Selatan
Cieundeur;43260;Warungkondang
Bumirejo;52371;Ulujami
Luok;94694;Walea Kepulauan
Paya Tusam;20851;Wampu
Balah Aie Utara;25576;VII Koto Sungai Sarik
Dadapan;65173;Wajak
Yetehup;99765;Walma
Candirejo;50513;Ungaran Barat
Mola Selatan;93795;Wangi Wangi Selatan
Cikareo Utara;45373;Wado
Kaliprau;52371;Ulujami
Pertumbukan;20851;Wampu
Bisati Sungai Sariak;25576;VII Koto Sungai Sarik
Genuk;50512;Ungaran Barat
Kidangbang;65173;Wajak
Bukutio;97866;Wasile Selatan
Kertosari;52371;Ulujami
Ulipia;98955;Wangbe
Ngembal;65173;Wajak
Lareh Nan Panjang;25576;VII Koto Sungai Sarik
Ekor;97866;Wasile Selatan
Cilengkrang;45373;Wado
Harapan;91950;Walenrang
Patokpicis;65173;Wajak
Olilan;94694;Walea Kepulauan
Gogik;50551;Ungaran Barat
Cikaroya;43260;Warungkondang
Bompai;99467;Waris
Yenbeser;98475;Waigeo Selatan
Cimungkal;45373;Wado
Popolii;94694;Walea Kepulauan
Ketapang;52371;Ulujami
Sukoanyar;65173;Wajak
Lareh Nan Panjang Barat;25576;VII Koto Sungai Sarik
Cisarandi;43260;Warungkondang
Balun;53457;Wanayasa
Kalisidi;50519;Ungaran Barat
Sukolilo;65173;Wajak
Stabat Lama;20851;Wampu
Tiga Pulau;94694;Walea Kepulauan
Gag;98465;Waigeo Barat Kepulauan
Ciwalen;43260;Warungkondang
Kalifam;99467;Waris
Cisurat;45373;Wado
Mola Utara;93795;Wangi Wangi Selatan
Limbangan;52371;Ulujami
Bantar;53457;Wanayasa
Lareh Nan Panjang Selatan;25576;VII Koto Sungai Sarik
Ganjaresik;45373;Wado
Stabat Lama Barat;20851;Wampu
Tutung;94694;Walea Kepulauan
Kalimala;99467;Waris
Basso (Bosso);91953;Walenrang Utara
Wangbe;98955;Wangbe
Keji;50519;Ungaran Barat
Mulyajaya;45373;Wado
Manyaifun;98465;Waigeo Barat Kepulauan
Sumberputih;65173;Wajak
Mojo;52371;Ulujami
Sukajadi;45373;Wado
Lareh Nan Panjang Sungai Sariak;25576;VII Koto Sungai Sarik
Wajak;65173;Wajak
Jambudipa;43260;Warungkondang
Langensari;50518;Ungaran Barat
Ciawi;41174;Wanayasa
Ekorino;97866;Wasile Selatan
Biga;94693;Walea Besar
Bolong;91953;Walenrang Utara
Wonoayu;65173;Wajak
Meosmanggara;98465;Waigeo Barat Kepulauan
Wonalbe;98955;Wangbe
Numana;93795;Wangi Wangi Selatan
Limpato Sungai Sariak;25576;VII Koto Sungai Sarik
Pam;98465;Waigeo Barat Kepulauan
Stungkit;20851;Wampu
Padek;52371;Ulujami
Fayaul;97866;Wasile Selatan
Katogop (Kotogop);94693;Walea Besar
Sukapura;45373;Wado
Kondongan;94693;Walea Besar
Saukabu;98465;Waigeo Barat Kepulauan
Lurah Ampalu;25576;VII Koto Sungai Sarik
Bosso Timur;91953;Walenrang Utara
Wisata Kolo (Wisata Koto);93795;Wangi Wangi Selatan
Pagergunung;52371;Ulujami
Wungbet;98955;Wangbe
Ino Jaya;97866;Wasile Selatan
Mekarwangi;43260;Warungkondang
Pund;99467;Waris
Saupapir;98465;Waigeo Barat Kepulauan
Sack;99467;Waris
Sungai Sariak;25576;VII Koto Sungai Sarik
Pamutih;52371;Ulujami
Malapo;94693;Walea Besar
Balai Rajo;37562;VII Koto Ilir
Lerep;50519;Ungaran Barat
Buntu Awo' (Buntu Awo);91953;Walenrang Utara
Jiko Moi;97866;Wasile Selatan
Sumber Mulyo;20851;Wampu
Bianci;98464;Waigeo Barat
Sukamulya;43260;Warungkondang
Cermin Alam;37562;VII Koto Ilir
Yuwainda;99467;Waris
Pasokan;94693;Walea Besar
Loleba;97866;Wasile Selatan
Salinggoha;94693;Walea Besar
Nyatnyono;50551;Ungaran Barat
Pesantren;52371;Ulujami
Tingki;94693;Walea Besar
Mutus;98464;Waigeo Barat
Bumi Nyiur;95117;Wanea
Mamuranu;98146;Wamesa (Idoor)
Paseban;37562;VII Koto Ilir
Ungaran;50511;Ungaran Barat
Tongidon;94693;Walea Besar
Binangun;42453;Waringinkurung (Waringin Kurung)
Rowosari;52371;Ulujami
Cigoong;42183;Walantaka
Pasir Mayang;37562;VII Koto Ilir
Wungka;93795;Wangi Wangi Selatan
Minamin;97866;Wasile Selatan
Cibuntu;41174;Wanayasa
Alai;29669;Ungar
Wado;45373;Wado
Samong;52371;Ulujami
Besuki;56365;Wadaslintang
Sungai Karang;37562;VII Koto Ilir
Aibura;86185;Waigete
Saleo;98464;Waigeo Barat
Egon;86185;Waigete
Batu Limau;29669;Ungar
Erorejo;56365;Wadaslintang
Selpele;98464;Waigeo Barat
Egon Buluk;86185;Waigete
Sukorejo;52371;Ulujami
Werang;86184;Waiblama
Teluk Kepayang Pulau Indah;37562;VII Koto Ilir
Tawanga;93574;Uluiwoi
Lemeu \/ Limau;39268;Uram Jaya
Wates;59372;Undaan
Ngal;29669;Ungar
Gumelar;56365;Wadaslintang
Waisilip;98464;Waigeo Barat
Tondowatu;93574;Uluiwoi
Dawuhan;53457;Wanayasa
Aur Cino;37561;VII Koto
Hoder;86185;Waigete
Tasikrejo;52371;Ulujami
Wonosoco;59372;Undaan
Kalidadap;56365;Wadaslintang
Sungai Buluh (Sungaibuluh);29669;Ungar
Pangkalan;39268;Uram Jaya
Bambar;99368;Waibu
Dalisodo;65158;Wagir
Kaligowong;56365;Wadaslintang
Uete;93574;Uluiwoi
