kecamatan;kabupaten
Ciamis;Ciamis
Batin II Babeko (Bathin);Bungo
Burneh;Bangkalan
Ciampea;Bogor
Darul Aman;Aceh Timur
Ciampel;Karawang
Cijambe;Subang
Cianjur;Cianjur
Darul Falah;Aceh Timur
Barumun Baru;Padang Lawas
Ciasem;Subang
Ciater;Subang
Bintan Utara;Bintan
Batin XXIV;Batanghari
Ciawi;Bogor
Cijati;Cianjur
Ciawi;Tasikmalaya
Darul Hasanah;Aceh Tenggara
Ciawigebang;Kuningan
Baebunta Selatan;Luwu Utara
Cijeruk;Bogor
Cibadak;Lebak
Barumun Selatan;Padang Lawas
Batipuah Selatan (Batipuh Selatan);Tanah Datar
Cibadak;Sukabumi
Bojong;Purwakarta
Batang Asai;Sarolangun
Cibal;Manggarai
Cijeungjing;Ciamis
Cibal Barat;Manggarai
Batipuh;Tanah Datar
Batang Asam;Tanjung Jabung Barat
Bojong;Pekalongan
Cibaliung;Pandeglang
Cijulang;Pangandaran
Batang Batang;Sumenep
Bojong;Tegal
Cibalong;Garut
Darul Hikmah;Aceh Jaya
Batang Cenaku;Indragiri Hulu
Batom;Pegunungan Bintang
Cibalong;Tasikmalaya
Bintang;Aceh Tengah
Bojong Gede (Bojonggede);Bogor
Batang Gangsal (Batang Gansal);Indragiri Hulu
Cikadu;Cianjur
Darul Ihsan (Iksan);Aceh Timur
Bojongasih;Tasikmalaya
Cibarusah;Bekasi
Batu;Batu
Batang Gasan;Padang Pariaman
Bojonggambir;Tasikmalaya
Cibatu;Garut
Cikajang;Garut
Batang Hari Leko;Musi Banyuasin
Cibatu;Purwakarta
Darul Imarah;Aceh Besar
Cibeber;Cilegon
Bojonggenteng (Bojong Genteng);Sukabumi
Batang Kapas;Pesisir Selatan
Cibeber;Lebak
Cikakak;Sukabumi
Didohu;Pegunungan Arfak
Darul Kamal;Aceh Besar
Cinangka;Serang
Cikalong;Tasikmalaya
Indra Makmu (Indra Makmur);Aceh Timur
Darul Makmur;Nagan Raya
Dimba;Lanny Jaya
Cibeber;Cianjur
Batu Aji;Batam
Cineam;Tasikmalaya
Cibeunying Kaler;Bandung
Batang Kawa;Lamandau
Cibeunying Kidul;Bandung
Indrajaya (Indra Jaya);Pidie
Bittuang;Tana Toraja
Dimembe;Minahasa Utara
Cibeureum;Kuningan
Batang Kuis;Deli Serdang
Cinere;Depok
Cibeureum;Sukabumi
Indralaya;Ogan Ilir
Biuk;Tolikara
Dipa;Nabire
Cikalongkulon;Cianjur
Cingambul;Majalengka
Darussalam;Aceh Besar
Gelumbang;Muara Enim
Batang Lubu Sutam;Padang Lawas
Bojongloa Kaler;Bandung
Indralaya Selatan;Ogan Ilir
Candiroto;Temanggung
Cikalongwetan (Cikalong Wetan);Bandung Barat
Ciniru;Kuningan
Bojongloa Kidul;Bandung
Gemarang;Madiun
Dasuk;Sumenep
Cibeureum;Tasikmalaya
Dirwemna;Yahukimo
Bojongmangu;Bekasi
Bl. Limbangan (Blubur Limbangan);Garut
Cikampek;Karawang
Cibingbin;Kuningan
Dataran Beimes;Teluk Bintuni
Candisari;Semarang
Bojongmanik;Lebak
Cibinong;Bogor
Cikancung;Bandung
Blado;Batang
Batu Ampar;Kubu Raya
Dataran Isim;Manokwari Selatan
Gemawang;Temanggung
Cikande;Serang
Candung;Agam
Indralaya Utara;Ogan Ilir
Batu Ampar;Tanah Laut
Cibinong;Cianjur
Cintapuri Darussalam;Banjar
Datuk Bandar;Tanjung Balai
Blahbatuh (Belah Batuh);Gianyar
Diwek;Jombang
Bojongpicung;Cianjur
Batang Lupar;Kapuas Hulu
Gembong;Pati
Cikarang Barat;Bekasi
Cibiru;Bandung
Ciomas;Serang
Batu Ampar;Kutai Timur
Indramayu;Indramayu
Datuk Bandar Timur;Tanjung Balai
Cangkringan;Sleman
Dlanggu;Mojokerto
Bojongsari;Purbalingga
Blambangan Pagar;Lampung Utara
Gemeh;Kepulauan Talaud
Cibitung;Pandeglang
Gemolong;Sragen
Batang Masumai;Merangin
Dlingo;Bantul
Indrapuri;Aceh Besar
Cikarang Pusat;Bekasi
Gempol;Cirebon
Bojongsari;Depok
Gempol;Pasuruan
Batu Ampar;Batam
Ciomas;Bogor
Cikarang Selatan;Bekasi
Inerie;Ngada
Datuk Lima Puluh;Batu Bara
Gemuh;Kendal
Bojongsoang;Bandung
Inggerus;Waropen
Batu Ampar;Seruyan
Gending;Probolinggo
Bokan Kepulauan;Banggai Laut
Ingin Jaya;Aceh Besar
Cikarang Timur;Bekasi
Geneng;Ngawi
Datuk Tanah Datar;Batu Bara
Genteng;Surabaya
Cikarang Utara;Bekasi
Dogiyai;Dogiyai
Batu Atas;Buton Selatan
Inikgal;Nduga
Dau;Malang
Dogomo;Paniai
Cikatomas;Tasikmalaya
Iniyandit;Boven Digoel
Bokat;Buol
Doko;Blitar
Dawan;Klungkung
Cipaku;Ciamis
Cikaum;Subang
Iniye;Nduga
Boking;Timor Tengah Selatan
Dokome;Puncak Jaya
Dawarblandong (Dawar Blandong);Mojokerto
Cipanas;Lebak
Bokondini;Tolikara
Insana;Timor Tengah Utara
Cikedal (Cikeudal);Pandeglang
Dolat Rayat;Karo
Bokoneri;Tolikara
Cipanas;Cianjur
Dawe;Kudus
Insana Barat;Timor Tengah Utara
Cikedung;Indramayu
Dolo;Sigi
Bola;Sikka
Ciparay;Bandung
Dawelor Dawera;Maluku Barat Daya
Insana Fafinesu;Timor Tengah Utara
Bola;Wajo
Genteng;Banyuwangi
Cikelet;Garut
Dolo Barat;Sigi
Dawuan;Majalengka
Gentuma Raya;Gorontalo Utara
Cikembar;Sukabumi
Insana Tengah;Timor Tengah Utara
Dawuan;Subang
Dolo Selatan;Sigi
Cikeusal;Serang
Bolaang;Bolaang Mongondow
Dayeuhkolot;Bandung
Genuk;Semarang
Cikeusik;Pandeglang
Insana Utara;Timor Tengah Utara
Batu Benawa;Hulu Sungai Tengah
Bolaang Timur;Bolaang Mongondow
Geragai;Tanjung Jabung Timur
Dayeuhluhur;Cilacap
Dolog Masagal;Simalungun
Gerih;Ngawi
Cikidang;Sukabumi
Dolok;Padang Lawas Utara
Batu Brak;Lampung Barat
Inuman;Kuantan Singingi
Cikijing;Majalengka
Cipari;Cilacap
Bolaang Uki;Bolaang Mongondow Selatan
Gerogol;Cilegon
Cikole;Sukabumi
Cikoneng;Ciamis
Gerokgak;Buleleng
Cikulur;Lebak
Io Kufeu;Malaka
Batu Engau;Paser
Dolok Batu Nanggar;Simalungun
Dayun;Siak
Gerung;Lombok Barat
Cikupa;Tangerang
Dolok Masihul;Serdang Bedagai
Ipuh (Muko Muko Selatan);Muko Muko
Batu Hampar;Rokan Hilir
Gerunggang;Pangkal Pinang
Dedai;Sintang
Cangkuang;Bandung
Cilacap Selatan;Cilacap
Cibitung;Bekasi
Cilacap Tengah;Cilacap
Cantigi;Indramayu
Deiyai Miyo;Paniai
Batang Merangin;Kerinci
Cilacap Utara;Cilacap
Cibitung;Sukabumi
Dekai;Yahukimo
Capkala;Bengkayang
Cilaku;Cianjur
Batang Natal;Mandailing Natal
Deket;Lamongan
Cilamaya Kulon;Karawang
Dolok Merawan;Serdang Bedagai
Delang;Lamandau
Delanggu;Klaten
Cilamaya Wetan;Karawang
Deleng Pokhkisen (Deleng Pokhisen);Aceh Tenggara
Cibiuk;Garut
Cilandak;Jakarta Selatan
Garung;Wonosobo
Carenang (Cerenang);Serang
Deli Tua;Deli Serdang
Cibodas;Tangerang
Batang Onang;Padang Lawas Utara
Geselma;Nduga
Cibogo;Subang
Cilawu;Garut
Batang Peranap;Indragiri Hulu
Ireres;Tambrauw
Delima;Pidie
Cibuaya;Karawang
Gesi;Sragen
Cilebak;Kuningan
Blambangan Umpu;Way Kanan
Dolok Panribuan;Simalungun
Delta Pawan;Ketapang
Cibugel;Sumedang
Irimuli;Puncak Jaya
Cilebar;Karawang
Blanakan;Subang
Getasan;Semarang
Dolok Pardamean;Simalungun
Demak;Demak
Geumpang;Pidie
Ciledug;Tangerang
Cipatat;Bandung Barat
Caringin;Bogor
Garut Kota;Garut
Itlay Hisage;Jayawijaya
Cibungbulang;Bogor
Geuredong Pase;Aceh Utara
Cicalengka;Bandung
Batang Serangan;Langkat
Dolok Sanggul;Humbang Hasundutan
Ciledug;Cirebon
Caringin;Garut
Cipatujah;Tasikmalaya
Blang Bintang (Blank Bintang);Aceh Besar
Demba;Waropen
Geya;Tolikara
Cicantayan;Sukabumi
Gatak;Sukoharjo
IV Jurai;Pesisir Selatan
Caringin;Sukabumi
Cilegon;Cilegon
Cipayung;Jakarta Timur
Gaung;Indragiri Hilir
Dolok Sigompulon;Padang Lawas Utara
Batang Toru;Tapanuli Selatan
Demon Pagong;Flores Timur
IV Koto (Ampek Koto);Agam
Gaung Anak Serka;Indragiri Hilir
Blang Mangat;Lhokseumawe
Dolok Silou (Dolok Silau);Simalungun
Cicendo;Bandung
Cileles;Lebak
IV Koto Aur Malintang;Padang Pariaman
Dempet;Demak
Cipayung;Depok
Carita;Pandeglang
IV Nagari;Sijunjung
Blangjerango (Blang Jerango);Gayo Lues
Cipedes;Tasikmalaya
Batang Tuaka;Indragiri Hilir
Cicurug;Sukabumi
IV Nagari Bayang Utara;Pesisir Selatan
Blangkejeren (Blang Kejeren);Gayo Lues
Ile Ape Timur;Lembata
Cipeucang;Pandeglang
Gayam;Sumenep
Iwaka;Mimika
Cariu;Bogor
Cilengkrang;Bandung
Geyer;Grobogan
Gayam;Bojonegoro
Cipeundeuy;Bandung Barat
Batangan;Pati
Dempo Selatan;Pagar Alam
Gianyar;Gianyar
Blangpegayon (Blang Pegayon);Gayo Lues
Cileungsi;Bogor
Iwoimendaa;Kolaka
Cidadap;Bandung
Ile Boleng;Flores Timur
Dolopo;Madiun
Catubouw;Pegunungan Arfak
Dempo Tengah;Pagar Alam
Blangpidie (Blang Pidie);Aceh Barat Daya
Gido;Nias
Iwur;Pegunungan Bintang
Dompu;Dompu
Cileunyi;Bandung
Cidadap;Sukabumi
Cipeundeuy;Subang
Ile Bura;Flores Timur
Cawas;Klaten
IX Koto Sungai Lasi;Solok
Cidahu;Kuningan
Dondo;Toli Toli
Dempo Utara;Pagar Alam
Cipicung;Kuningan
Celala;Aceh Tengah
Donggo;Bima
Gayamsari;Semarang
Batanghari;Lampung Timur
Cililin;Bandung Barat
Jabiren Raya;Pulang Pisau
Cidahu;Sukabumi
Gayungan;Surabaya
Cipocok Jaya;Serang
Cempa;Pinrang
Demta;Jayapura
Dongko;Trenggalek
Blega;Bangkalan
Ile Mandiri;Flores Timur
Jabon;Sidoarjo
Batanghari Nuban;Lampung Timur
Gearek;Nduga
Cidaun;Cianjur
Cipondoh;Tangerang
Blimbing;Malang
Donomulyo;Malang
Jabung;Malang
Batani;Pegunungan Bintang
Donorojo;Pacitan
Gika;Tolikara
Giliginting (Gili Ginting);Sumenep
Blimbingsari;Banyuwangi
Cipongkor;Bandung Barat
Cidolog;Ciamis
Batanta Selatan;Raja Ampat
Jabung;Lampung Timur
Cidolog;Sukabumi
Donorojo;Jepara
Cempaga;Kotawaringin Timur
Ciemas;Sukabumi
Gilireng;Wajo
Blora (Blora kota);Blora
Donri Donri;Soppeng
Cempaga Hulu;Kotawaringin Timur
Jagakarsa;Jakarta Selatan
Gilubandu;Tolikara
Cigalontang;Tasikmalaya
Cipunagara;Subang
Bluluk;Lamongan
Doreng;Sikka
Giri;Banyuwangi
Ciputat;Tangerang Selatan
Batanta Utara;Raja Ampat
Bluto;Sumenep
Giri Mulia (Giri Mulya);Bengkulu Utara
Cempaka;Banjarbaru
Doro;Pekalongan
Cigandamekar;Kuningan
Boawae;Nagekeo
Ciputat Timur;Tangerang Selatan
Batauga;Buton Selatan
Girian;Bitung
Bobotsari;Purbalingga
Ciracap;Sukabumi
Girimarto;Wonogiri
Girimaya;Pangkal Pinang
Bodeh;Pemalang
Ciracas;Jakarta Timur
Batealit;Jepara
Bogabaida;Paniai
Girimulyo;Kulon Progo
Cilimus;Kuningan
Cempaka;Ogan Komering Ulu Timur
Girisubo;Gunungkidul
Dendang;Belitung Timur
Doufo;Puncak
Gebang;Langkat
Giritontro;Wonogiri
Ilir Barat Dua (Ilir Barat II);Palembang
Batee;Pidie
Cempaka Putih;Jakarta Pusat
Jagebob;Merauke
Cigasong;Majalengka
Giriwoyo;Wonogiri
Cilincing;Jakarta Utara
Ciranjang;Cianjur
Gebang;Cirebon
Dow;Tolikara
Girsang Sipangan Bolon;Simalungun
Dendang;Tanjung Jabung Timur
Cilodong;Depok
Jagoi Babang;Bengkayang
Japara;Kuningan
Gebang;Purworejo
Cireunghas;Sukabumi
Cisarua;Sumedang
Ilir Barat Satu (Ilir Barat I);Palembang
Gisting;Tanggamus
Dumoga Tenggara;Bolaang Mongondow
Dende' Piongan Napo;Toraja Utara
Dramaga;Bogor
Guguak (Gugu);Lima Puluh Kota
Gebog;Kudus
Jarai;Lahat
Gladagsari;Boyolali
Cilograng;Lebak
Cisata;Pandeglang
Jagong Jeget;Aceh Tengah
Guguak Panjang (Guguk Panjang);Bukittinggi
Ilir Talo;Seluma
Cirinten;Lebak
Gedangan;Malang
Dumoga Timur;Bolaang Mongondow
Glagah;Banyuwangi
Guluk-Guluk (Guluk Guluk);Sumenep
Dringu;Probolinggo
Cilongok;Banyumas
Dumoga Utara;Bolaang Mongondow
Glagah;Lamongan
Gedangan;Sidoarjo
Gumay Talang;Lahat
Jailolo;Halmahera Barat
Gumay Ulu;Lahat
Cisauk;Tangerang
Glenmore;Banyuwangi
Dundu;Tolikara
Driyorejo;Gresik
Ilir Timur Dua (Ilir Timur II);Palembang
Gumbasa;Sigi
Cimahi;Kuningan
Jailolo Selatan;Halmahera Barat
Gumelar;Banyumas
Cimahi Selatan;Cimahi
Glumpang Baro;Pidie
Dungaliyo;Gorontalo
Ilir Timur Satu (Ilir Timur I);Palembang
Dua Boccoe;Bone
Gumukmas (Gumuk Mas);Jember
Cimahi Tengah;Cimahi
Glumpang Tiga (Geulumpang Tiga);Pidie
Jaro;Tabalong
Ilir Timur Tiga;Palembang
Dungingi;Gorontalo
Cimahi Utara;Cimahi
Guna;Lanny Jaya
Ilu;Puncak Jaya
Cisayong;Tasikmalaya
Jasinga;Bogor
Dungkek;Sumenep
Ciseeng;Bogor
Dengilo;Pahuwato
Duo Koto;Pasaman
Jaten;Karanganyar
Cisewu;Garut
Cimalaka;Sumedang
Jati;Blora
Ilugwa;Mamberamo Tengah
Durai;Karimun
Jair;Boven Digoel
Denpasar Barat;Denpasar
Cisitu;Sumedang
Duram;Yahukimo
Cimanggis;Depok
Gn. Bintang Awai (Gunung Bintang Awai);Barito Selatan
Jati;Kudus
Ilwayab (Ilyawab);Merauke
Dua Pitue;Sidenreng Rappang
Cisoka;Tangerang
Cimanggu;Pandeglang
Jakabaring;Palembang
Duren Sawit;Jakarta Timur
Denpasar Selatan;Denpasar
Goa Balim;Lanny Jaya
Cisolok;Sukabumi
Cimanggu;Sukabumi
Duampanua;Pinrang
Jati Agung;Lampung Selatan
Jaken;Pati
Durenan;Trenggalek
Cisompet;Garut
Godean;Sleman
Denpasar Timur;Denpasar
Jatiasih;Bekasi
Gedangsari (Gedang Sari);Gunungkidul
Duripoku;Pasangkayu (Mamuju Utara)
Gundagi;Tolikara
Godong;Grobogan
Cisurupan;Garut
Duduksampeyan (Duduk Sampeyan);Gresik
Cimanggu;Cilacap
Jatibanteng;Situbondo
Denpasar Utara;Denpasar
Duruka;Muna
Gunem;Rembang
Cimanggung;Sumedang
Jakenan;Pati
Guntur;Demak
Dente Teladas;Tulang Bawang
Jatibarang;Indramayu
Golewa;Ngada
Gedebage;Bandung
Dusun Hilir;Barito Selatan
Duhiadaa;Pahuwato
Cimanuk;Pandeglang
Gunuang Omeh (Gunung Mas);Lima Puluh Kota
Golewa Barat;Ngada
Citak-Mitak (Citakmitak);Mappi
Jalaksana;Kuningan
Gunung Agung;Tulang Bawang Barat
Depapre;Jayapura
Golewa Selatan;Ngada
Dusun Selatan;Barito Selatan
Gedeg;Mojokerto
Dukuh Pakis;Surabaya
Gunung Alip;Tanggamus
Cimaragas;Ciamis
Citamiang;Sukabumi
Gedong Tataan;Pesawaran
Dusun Tengah;Barito Timur
Gunung Anyar (Gununganyar);Surabaya
Depati Tujuh;Kerinci
Gunung Jati (Cirebon Utara);Cirebon
Dusun Timur;Barito Timur
Gunung Kaler;Tangerang
Gunung Kerinci;Kerinci
Gedongtengen (Gedong Tengen);Yogyakarta
Dusun Utara;Barito Selatan
Cimarga;Lebak
Citangkil;Cilegon
Gunung Kijang;Bintan
Depok;Sleman
Citeureup;Bogor
Gedung Aji;Tulang Bawang
Gunung Labuhan;Way Kanan
Jatibarang;Brebes
Gunung Malela;Simalungun
Citta;Soppeng
Gunung Maligas;Simalungun
Cimaung;Bandung
Jatigede;Sumedang
Gedung Aji Baru;Tulang Bawang
Ciwandan;Cilegon
Gunung Megang;Muara Enim
Depok;Cirebon
Ciwaringin;Cirebon
Gedung Meneng;Tulang Bawang
Jatikalen;Nganjuk
Cimenyan (Cimeunyan);Bandung
Gunung Meriah;Deli Serdang
Ciwaru;Kuningan
Imogiri;Bantul
Gunung Meriah (Mariah);Aceh Singkil
Gedung Surian;Lampung Barat
Jatilawang;Banyumas
Gunung Pelindung;Lampung Timur
Jatiluhur;Purwakarta
Ebungfao (Ebungfau / Ebungfa);Jayapura
Der Koumur;Asmat
Ciwidey;Bandung
Jatinagara;Ciamis
Gunung Purei;Barito Utara
Cimerak;Pangandaran
Edera;Mappi
Cluring;Banyuwangi
Jalancagak;Subang
Geger;Madiun
Jatinangor;Sumedang
Inamosol;Seram Bagian Barat
Gollo;Lanny Jaya
Gunung Putri;Bogor
Geger;Bangkalan
Egiam;Tolikara
Dukuhseti;Pati
Cluwak;Pati
Dervos;Puncak
Gombong;Kebumen
Gunung Puyuh (Gunungpuyuh);Sukabumi
Cina;Bone
Jatinegara;Jakarta Timur
Gegerbitung (Geger Bitung);Sukabumi
Coblong;Bandung
Inanwatan;Sorong Selatan
Gunung Raya;Kerinci
Detukeli;Ende
Eipumek;Pegunungan Bintang
Jatinegara;Tegal
Gunung Sahilan;Kampar
Colomadu;Karanganyar
Jamanis;Tasikmalaya
Gegesik;Cirebon
Ekadide;Paniai
Gome;Puncak
Jatinom;Klaten
Dukuhturi;Tegal
Comal;Pemalang
Indihiang;Tasikmalaya
Gome Utara;Puncak
Elar;Manggarai Timur
Gekbrong;Cianjur
Jatinunggal;Sumedang
Detusoko;Ende
Gunung Sindur;Bogor
Jambangan;Surabaya
Jatipurno;Wonogiri
Gelok Beam;Lanny Jaya
Gunung Sitember;Dairi
Gomo;Nias Selatan
Dewantara;Aceh Utara
Jatipuro;Karanganyar
Indra Jaya;Aceh Jaya
Dukuhwaru;Tegal
Compreng;Subang
Cinambo;Bandung
Gondang;Sragen
Gunung Sugih;Lampung Tengah
Jambe;Tangerang
Elar Selatan;Manggarai Timur
Concong;Indragiri Hilir
Gondang;Bojonegoro
Jatirejo;Mojokerto
Elelim;Yalimo
Conggeang;Sumedang
Dukun;Magelang
Jatirogo;Tuban
Jambesari Darus Sholah;Bondowoso
Gunung Tabur;Berau
Hamparan Rawang;Sungai Penuh
Elikobal;Merauke
Gondang;Mojokerto
Hanau;Seruyan
Gunung Talang;Solok
Fak-Fak Timur (Fakfak Timur);Fak Fak
Ella Hilir;Melawi
Fakfak Timur Tengah;Fak Fak
Jatiroto;Lumajang
Dukun;Gresik
Gunung Terang;Tulang Bawang Barat
Gondang;Nganjuk
Gunung Timang;Barito Utara
Jenar;Sragen
Jambi Luar Kota;Muaro Jambi
Jatiroto;Wonogiri
Hantakan;Hulu Sungai Tengah
Congkar;Manggarai Timur
Gondang;Tulungagung
Gunung Tujuh;Kerinci
Danau Sembuluh;Seruyan
Dukupuntang;Cirebon
Gunung Tuleh (Gunungtuleh);Pasaman Barat
Jenawi;Karanganyar
Gondanglegi;Malang
Cot Girek;Aceh Utara
Hantara;Kuningan
Jambi Selatan;Jambi
Elpaputih;Seram Bagian Barat
Danau Sipin;Jambi
Gondangrejo;Karanganyar
Jatisampurna (Jati Sampurna);Bekasi
Haranggaol Horisan (Haranggaol Horison);Simalungun
Gunungguruh;Sukabumi
Cugenang;Cianjur
Jenggawah;Jember
Gununghalu;Bandung Barat
Fanayama;Nias Selatan
Embaloh Hilir;Kapuas Hulu
Harau;Lima Puluh Kota
Jatisari;Karawang
Gondangwetan (Gondang Wetan);Pasuruan
Jenu;Tuban
Cukuh Balak;Tanggamus
Jambi Timur;Jambi
Harian;Samosir
Gunungkencana (Gunung Kencana);Lebak
Gondokusuman;Yogyakarta
Fatukopa;Timor Tengah Selatan
Embaloh Hulu;Kapuas Hulu
Jamblang;Cirebon
Jatisrono;Wonogiri
Harjamukti;Cirebon
Culamega;Tasikmalaya
Gondomanan;Yogyakarta
Danau Teluk;Jambi
Embetpen;Nduga
Gorom Timur;Seram Bagian Timur
Jepara;Jepara
Jatitujuh;Majalengka
Fatuleu;Kupang
Dulupi;Boalemo
Curahdami;Bondowoso
Jepon;Blora
Jambon;Ponorogo
Curio;Enrekang
Dander;Bojonegoro
Goyage;Tolikara
Fatuleu Barat;Kupang
Haruai;Tabalong
Dangia;Kolaka Timur
Grabag;Magelang
Jatiuwung;Tangerang
Jerebuu;Ngada
Jambu;Semarang
Jatiwangi;Majalengka
Fatuleu Tengah;Kupang
Empanang;Kapuas Hulu
Haruyan;Hulu Sungai Tengah
Gunungpati;Semarang
Grabag;Purworejo
Danime;Tolikara
Jatiwaras;Tasikmalaya
Hatonduhan;Simalungun
Dumadama;Paniai
Empang;Sumbawa
Jereweh;Sumbawa Barat
Grabagan;Tuban
Gunungsari;Lombok Barat
Danurejan;Yogyakarta
Jampangkulon (Jampang Kulon);Sukabumi
Curug;Serang
Dapurang;Pasangkayu (Mamuju Utara)
Dumai Barat;Dumai
Jatiyoso;Karanganyar
Fatumnasi;Timor Tengah Selatan
Grati;Pasuruan
Darangdan;Purwakarta
Hatungun;Tapin
Gunungsari (Gunung Sari);Serang
Empat Petulai Dangku;Muara Enim
Jampangtengah (Jampang Tengah);Sukabumi
Fautmolo;Timor Tengah Selatan
Gunungsitoli;Gunungsitoli
Haur Gading;Hulu Sungai Utara
Greged (Greget);Cirebon
Jawa Maraja Bah Jambi;Simalungun
Jerowaru;Lombok Timur
Dumai Kota;Dumai
Enam Lingkung;Padang Pariaman
Haurgeulis;Indramayu
Gresi Selatan;Jayapura
Fawi;Puncak Jaya
Gresik;Gresik
Gunungsitoli Alo'oa;Gunungsitoli
Haurwangi;Cianjur
Jawai;Sambas
Fayit;Asmat
Curug;Tangerang
Hawu Mehara;Sabu Raijua
Dumai Selatan;Dumai
Helumo;Bolaang Mongondow Selatan
Janapria;Lombok Tengah
Fef;Tambrauw
Gunungsitoli Barat;Gunungsitoli
Gringsing;Batang
Jeruklegi;Cilacap
Ende;Ende
Dumai Timur;Dumai
Heram;Jayapura
Gunungsitoli Idanoi;Gunungsitoli
Hereapini;Yahukimo
Curug bitung (Curugbitung);Lebak
Jawai Selatan;Sambas
Jetfa;Pegunungan Bintang
Gunungsitoli Selatan;Gunungsitoli
Grobogan;Grobogan
Jetis;Mojokerto
Curugkembar;Sukabumi
Kalasan;Sleman
Jangka;Bireuen
Jawilan;Serang
Fena Fafan;Buru Selatan
Dumbo Raya;Gorontalo
Jetis;Ponorogo
Grogol;Sukoharjo
Fena Leisela;Buru
Jangka Buya (Jangka Buaya);Pidie Jaya
Jetis;Bantul
Grogol;Kediri
Herlang (Hero Lange Lange);Bulukumba
Grogol Petamburan;Jakarta Barat
Firiwage;Boven Digoel
Hewokloang;Sikka
Ciruas;Serang
Fofi;Boven Digoel
Jetis;Yogyakarta
Kalawat;Minahasa Utara
Jangkang;Sanggau
Hibala;Nias Selatan
Hiliduho;Nias
Grong Grong;Pidie
Jetsy;Asmat
Cisaat;Sukabumi
Kaledupa;Wakatobi
Jangkar;Situbondo
Hilimegai;Nias Selatan
Grujugan;Bondowoso
Gu;Buton Tengah
Jeumpa;Aceh Barat Daya
Hilipuk;Yahukimo
Cisaga;Ciamis
Kaledupa Selatan;Wakatobi
Jangkat;Merangin
Hiliran Gumanti;Solok
Gubeng;Surabaya
Fokour;Sorong Selatan
Kalianda;Lampung Selatan
Hilisalawa'ahe (Hilisalawaahe);Nias Selatan
Dumoga;Bolaang Mongondow
Kalianget;Sumenep
Fordata (Yaru);Kepulauan Tanimbar (Maluku Tenggara Barat)
Hiliserangkai (Hili Serangkai / Hilisaranggu);Nias
Curup;Rejang Lebong
Cisalak;Subang
Kaliangkrik;Magelang
Gubug;Grobogan
Furwagi;Fak Fak
Jangkat Timur (Sungai Tenang);Merangin
Jaya;Aceh Jaya
Jeumpa;Bireuen
Dumoga Barat;Bolaang Mongondow
Gunungsitoli Utara;Gunungsitoli
Gabek;Pangkal Pinang
Curup Selatan;Rejang Lebong
Cisarua;Bandung Barat
Kalibagor;Banyumas
Gunungtanjung (Gunung Tanjung);Tasikmalaya
Jeunieb;Bireuen
Gubume;Puncak Jaya
Curup Tengah;Rejang Lebong
Hinai;Langkat
Japah;Blora
Jaya Baru;Banda Aceh
Gabus;Grobogan
Curup Timur;Rejang Lebong
Jayakerta;Karawang
Hingk;Pegunungan Arfak
Gucialit;Lumajang
Jiken;Blora
Cisarua;Bogor
Kalibaru;Banyuwangi
Curup Utara;Rejang Lebong
Dumoga Tengah;Bolaang Mongondow
Gabus;Pati
Kalibawang;Kulon Progo
Gudo;Jombang
Jila;Mimika
Gunungtoar (Gunung Toar);Kuantan Singingi
Ende Selatan;Ende
Gabuswetan;Indramayu
Dabun Gelang (Debun Gelang);Gayo Lues
Kalibawang;Wonosobo
Gunungwungkal;Pati
Hitadipa;Intan Jaya
Jayaloka (Jaya Loka);Musi Rawas
Hoat Sorbay;Maluku Tenggara
Ende Tengah;Ende
Gupura;Lanny Jaya
Kalibening;Banjarnegara
Jayanti;Tangerang
Gading;Probolinggo
Kandangan;Hulu Sungai Selatan
Hobard;Sorong
Kedungjati;Grobogan
Kalibunder;Sukabumi
Gurage;Puncak Jaya
Gambiran;Banyuwangi
Hogio;Yahukimo
Gurah;Kediri
Kedungkandang;Malang
Jiput;Pandeglang
Jayapura;Ogan Komering Ulu Timur
Kandangan;Temanggung
Kalidawir;Tulungagung
Kedungpring;Lamongan
Jirak Jaya;Musi Banyuasin
Kandangan;Kediri
Kalideres;Jakarta Barat
Gambut;Banjar
Jita;Mimika
Dadahup;Kapuas
Kedungreja;Cilacap
Kalidoni;Palembang
Habinsaran;Toba
Kedungtuban;Blora
Gading Cempaka;Bengkulu
Haharu;Sumba Timur
Jiwan;Madiun
Kandanghaur;Indramayu
Jayapura Selatan;Jayapura
Ende Timur;Ende
Kaligesing;Purworejo
Gamelia;Lanny Jaya
Gading Rejo;Pringsewu
Kedungwaru;Tulungagung
Kaligondang;Purbalingga
Jayapura Utara;Jayapura
Kandangserang;Pekalongan
Gadingrejo;Pasuruan
Ende Utara;Ende
Gampengrejo;Kediri
Kalijambe;Sragen
Dagai;Puncak Jaya
Kedungwuni;Pekalongan
Joerat;Asmat
Jebres;Surakarta
Gadung;Buol
Kandat;Kediri
Dagangan;Madiun
Holuwon;Yahukimo
Kedurang;Bengkulu Selatan
Kalijati;Subang
Jongkat (Siantan);Mempawah
Jebus;Bangka Barat
Gajah;Demak
Kandeman;Batang
Daha Barat;Hulu Sungai Selatan
Jogonalan;Klaten
Kedurang Ilir;Bengkulu Selatan
Endomen;Yahukimo
Homeyo;Intan Jaya
Jongkong (Jengkong);Kapuas Hulu
Jejangkit;Barito Kuala
Kalikajar;Wonosobo
Keera;Wajo
Gajah Putih;Bener Meriah
